Current city,Current x,Current y,.jpg name,.jpg url,Dominant Color,Color Palette,R,G,B,HLS,H,L,S
,,,Dunes with Figures.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Dunes_with_Figures.jpg/150px-Dunes_with_Figures.jpg,"(126, 99, 91)","[(128, 101, 93), (37, 17, 20), (85, 38, 35), (177, 141, 123), (104, 54, 35)]",126.0,99.0,91.0,"(0.03809523809523809, 108.5, -0.16279069767441862)",0.03809523809523809,108.5,-0.16279069767441862
Amsterdam,52.3727598,4.8936041,Zeegezicht bij Scheveningen - s0416M1990 - Van Gogh Museum.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Zeegezicht_bij_Scheveningen_-_s0416M1990_-_Van_Gogh_Museum.jpg/150px-Zeegezicht_bij_Scheveningen_-_s0416M1990_-_Van_Gogh_Museum.jpg,"(124, 118, 101)","[(126, 121, 103), (222, 215, 192), (46, 42, 29), (197, 186, 161), (185, 188, 180)]",124.0,118.0,101.0,"(0.12318840579710144, 112.5, -0.1031390134529148)",0.12318840579710144,112.5,-0.1031390134529148
Otterlo,52.1015221,5.7720779,Van Gogh - Fischer am Strand.jpeg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Van_Gogh_-_Fischer_am_Strand.jpeg/150px-Van_Gogh_-_Fischer_am_Strand.jpeg,"(154, 142, 93)","[(156, 144, 95), (61, 55, 47), (86, 80, 61), (228, 224, 204), (204, 196, 124)]",154.0,142.0,93.0,"(0.13387978142076504, 123.5, -0.24897959183673468)",0.13387978142076504,123.5,-0.24897959183673468
Otterlo,52.1015221,5.7720779,Van Gogh - Fischersfrau am Strand.jpeg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Van_Gogh_-_Fischersfrau_am_Strand.jpeg/150px-Van_Gogh_-_Fischersfrau_am_Strand.jpeg,"(118, 103, 66)","[(93, 82, 59), (161, 141, 77), (223, 216, 192), (195, 183, 134), (188, 165, 112)]",118.0,103.0,66.0,"(0.1185897435897436, 92.0, -0.2857142857142857)",0.1185897435897436,92.0,-0.2857142857142857
,,,Cluster of Old Houses with the New Church in The Hague.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Cluster_of_Old_Houses_with_the_New_Church_in_The_Hague.jpg/150px-Cluster_of_Old_Houses_with_the_New_Church_in_The_Hague.jpg,"(46, 48, 45)","[(181, 174, 148), (43, 46, 44), (150, 150, 129), (110, 101, 83), (124, 132, 124)]",46.0,48.0,45.0,"(0.27777777777777773, 46.5, -0.03296703296703297)",0.27777777777777773,46.5,-0.03296703296703297
Washington,38.8950368,-77.0365427,Bulb Fields.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Bulb_Fields.jpg/150px-Bulb_Fields.jpg,"(184, 168, 135)","[(185, 165, 132), (72, 59, 38), (121, 102, 53), (121, 120, 92), (110, 78, 46)]",184.0,168.0,135.0,"(0.11224489795918369, 159.5, -0.15457413249211358)",0.11224489795918369,159.5,-0.15457413249211358
,,,Three Figures near a Canal with Windmill.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Three_Figures_near_a_Canal_with_Windmill.jpg/150px-Three_Figures_near_a_Canal_with_Windmill.jpg,"(88, 89, 84)","[(85, 85, 81), (206, 202, 193), (162, 158, 150), (179, 180, 171), (176, 172, 172)]",88.0,89.0,84.0,"(0.20000000000000004, 86.5, -0.029239766081871343)",0.20000000000000004,86.5,-0.029239766081871343
,,,"Wind-Beaten Tree, A.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Wind-Beaten_Tree%2C_A.jpg/150px-Wind-Beaten_Tree%2C_A.jpg,"(200, 182, 72)","[(195, 178, 64), (49, 19, 10), (108, 58, 20), (234, 218, 144), (121, 104, 36)]",200.0,182.0,72.0,"(0.14322916666666666, 136.0, -0.4740740740740741)",0.14322916666666666,136.0,-0.4740740740740741
,,,Potato Digging (Five Figures) - My Dream.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Potato_Digging_%28Five_Figures%29_-_My_Dream.jpg/150px-Potato_Digging_%28Five_Figures%29_-_My_Dream.jpg,"(230, 212, 189)","[(230, 213, 191), (47, 34, 26), (137, 107, 83), (154, 158, 138), (128, 140, 140)]",230.0,212.0,189.0,"(0.0934959349593496, 209.5, -0.09832134292565947)",0.0934959349593496,209.5,-0.09832134292565947
,,,Vincent van Gogh - Sloot en kleine brug.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Vincent_van_Gogh_-_Sloot_en_kleine_brug.jpg/150px-Vincent_van_Gogh_-_Sloot_en_kleine_brug.jpg,"(64, 54, 42)","[(61, 51, 39), (157, 137, 114), (105, 95, 81), (129, 116, 100), (124, 108, 100)]",64.0,54.0,42.0,"(0.0909090909090909, 53.0, -0.21153846153846154)",0.0909090909090909,53.0,-0.21153846153846154
,,,Vincent van Gogh - Cows in the Meadow (1883).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Vincent_van_Gogh_-_Cows_in_the_Meadow_%281883%29.jpg/150px-Vincent_van_Gogh_-_Cows_in_the_Meadow_%281883%29.jpg,"(81, 75, 48)","[(81, 75, 47), (203, 185, 152), (155, 141, 113), (171, 166, 147), (166, 153, 136)]",81.0,75.0,48.0,"(0.13636363636363635, 64.5, -0.25984251968503935)",0.13636363636363635,64.5,-0.25984251968503935
,,,Van Gogh - Liegende Kuh2.jpeg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Van_Gogh_-_Liegende_Kuh2.jpeg/150px-Van_Gogh_-_Liegende_Kuh2.jpeg,"(140, 127, 76)","[(139, 128, 76), (81, 63, 51), (192, 170, 153), (208, 201, 155), (189, 166, 115)]",140.0,127.0,76.0,"(0.1328125, 108.0, -0.29906542056074764)",0.1328125,108.0,-0.29906542056074764
,,,Van Gogh - Liegende Kuh.jpeg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Van_Gogh_-_Liegende_Kuh.jpeg/150px-Van_Gogh_-_Liegende_Kuh.jpeg,"(78, 72, 78)","[(79, 73, 79), (212, 209, 215), (150, 143, 151), (169, 164, 172), (172, 172, 176)]",78.0,72.0,78.0,"(0.8333333333333334, 75.0, -0.04054054054054054)",0.8333333333333334,75.0,-0.04054054054054054
Utrecht,52.080985600000005,5.12768396945229,Farmhouses in Loosduinen near The Hague at Twilight.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Farmhouses_in_Loosduinen_near_The_Hague_at_Twilight.jpg/150px-Farmhouses_in_Loosduinen_near_The_Hague_at_Twilight.jpg,"(89, 64, 49)","[(212, 185, 108), (86, 61, 49), (174, 155, 91), (154, 125, 79), (166, 132, 116)]",89.0,64.0,49.0,"(0.0625, 69.0, -0.29411764705882354)",0.0625,69.0,-0.29411764705882354
,,,Van Gogh - Der Sämann (Studie).jpeg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Van_Gogh_-_Der_S%C3%A4mann_%28Studie%29.jpeg/150px-Van_Gogh_-_Der_S%C3%A4mann_%28Studie%29.jpeg,"(175, 171, 178)","[(181, 177, 183), (55, 50, 55), (107, 100, 107), (84, 75, 81), (85, 84, 84)]",175.0,171.0,178.0,"(0.7619047619047619, 174.5, -0.020172910662824207)",0.7619047619047619,174.5,-0.020172910662824207
,,,Landscape with Dunes.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Landscape_with_Dunes.jpg/150px-Landscape_with_Dunes.jpg,"(183, 185, 144)","[(112, 113, 84), (217, 221, 184), (206, 200, 148), (55, 52, 35), (69, 59, 43)]",183.0,185.0,144.0,"(0.17479674796747968, 164.5, -0.12538226299694188)",0.17479674796747968,164.5,-0.12538226299694188
,,,Marshy Landscape.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Marshy_Landscape.jpg/150px-Marshy_Landscape.jpg,"(112, 81, 54)","[(104, 75, 52), (192, 146, 86), (155, 114, 66), (170, 155, 91), (152, 124, 100)]",112.0,81.0,54.0,"(0.07758620689655173, 83.0, -0.35365853658536583)",0.07758620689655173,83.0,-0.35365853658536583
Amsterdam,52.3727598,4.8936041,Van Gogh - Bauernhäuser.jpeg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Van_Gogh_-_Bauernh%C3%A4user.jpeg/150px-Van_Gogh_-_Bauernh%C3%A4user.jpeg,"(162, 167, 156)","[(163, 168, 157), (59, 57, 47), (77, 74, 71), (117, 118, 83), (95, 82, 74)]",162.0,167.0,156.0,"(0.24242424242424243, 161.5, -0.03426791277258567)",0.24242424242424243,161.5,-0.03426791277258567
Warsaw,52.2319581,21.0067249,Van Gogh - Bauernhaus zwischen Bäumen.jpeg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Van_Gogh_-_Bauernhaus_zwischen_B%C3%A4umen.jpeg/150px-Van_Gogh_-_Bauernhaus_zwischen_B%C3%A4umen.jpeg,"(135, 113, 64)","[(126, 105, 59), (194, 196, 198), (194, 178, 129), (170, 157, 124), (177, 173, 140)]",135.0,113.0,64.0,"(0.11502347417840375, 99.5, -0.3604060913705584)",0.11502347417840375,99.5,-0.3604060913705584
Amsterdam,52.3727598,4.8936041,Twee vrouwen in het veen - s0129V1962 - Van Gogh Museum.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Twee_vrouwen_in_het_veen_-_s0129V1962_-_Van_Gogh_Museum.jpg/150px-Twee_vrouwen_in_het_veen_-_s0129V1962_-_Van_Gogh_Museum.jpg,"(84, 87, 74)","[(88, 92, 80), (48, 49, 33), (30, 32, 24), (142, 129, 104), (44, 48, 44)]",84.0,87.0,74.0,"(0.20512820512820515, 80.5, -0.08176100628930817)",0.20512820512820515,80.5,-0.08176100628930817
,,,Landscape with a Church at Twilight.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Landscape_with_a_Church_at_Twilight.jpg/150px-Landscape_with_a_Church_at_Twilight.jpg,"(82, 83, 83)","[(203, 203, 199), (80, 81, 81), (148, 148, 147), (171, 172, 170), (164, 164, 172)]",82.0,83.0,83.0,"(0.5, 82.5, -0.006134969325153374)",0.5,82.5,-0.006134969325153374
Assen,52.99037165,6.553377770642328,Van Gogh - Torfboot mit zwei Figuren.jpeg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Van_Gogh_-_Torfboot_mit_zwei_Figuren.jpeg/150px-Van_Gogh_-_Torfboot_mit_zwei_Figuren.jpeg,"(80, 86, 71)","[(79, 85, 70), (154, 171, 171), (159, 168, 143), (156, 142, 112), (134, 146, 136)]",80.0,86.0,71.0,"(0.2333333333333333, 78.5, -0.0967741935483871)",0.2333333333333333,78.5,-0.0967741935483871
Amsterdam,52.3727598,4.8936041,"Van Gogh - Bauer, Unkraut verbrennend.jpeg",https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Van_Gogh_-_Bauer%2C_Unkraut_verbrennend.jpeg/150px-Van_Gogh_-_Bauer%2C_Unkraut_verbrennend.jpeg,"(168, 120, 70)","[(168, 121, 71), (60, 52, 48), (102, 84, 65), (174, 166, 162), (92, 60, 48)]",168.0,120.0,70.0,"(0.08503401360544217, 119.0, -0.4152542372881356)",0.08503401360544217,119.0,-0.4152542372881356
Amsterdam,52.3727598,4.8936041,Boerderij met turfhopen - s0130V1962 - Van Gogh Museum.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Boerderij_met_turfhopen_-_s0130V1962_-_Van_Gogh_Museum.jpg/150px-Boerderij_met_turfhopen_-_s0130V1962_-_Van_Gogh_Museum.jpg,"(126, 128, 111)","[(126, 128, 111), (56, 53, 41), (67, 68, 50), (79, 74, 50), (82, 79, 62)]",126.0,128.0,111.0,"(0.18627450980392157, 119.5, -0.07172995780590717)",0.18627450980392157,119.5,-0.07172995780590717
,,,Van Gogh - Weber am Webstuhl - (Profil nach rechts)1.jpeg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Van_Gogh_-_Weber_am_Webstuhl_-_%28Profil_nach_rechts%291.jpeg/150px-Van_Gogh_-_Weber_am_Webstuhl_-_%28Profil_nach_rechts%291.jpeg,"(65, 69, 61)","[(69, 72, 62), (181, 187, 184), (178, 172, 111), (115, 125, 112), (138, 151, 110)]",65.0,69.0,61.0,"(0.25, 65.0, -0.0625)",0.25,65.0,-0.0625
,,,Van Gogh - Weber am Webstuhl - (Profil nach rechts)3.jpeg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Van_Gogh_-_Weber_am_Webstuhl_-_%28Profil_nach_rechts%293.jpeg/150px-Van_Gogh_-_Weber_am_Webstuhl_-_%28Profil_nach_rechts%293.jpeg,"(69, 60, 52)","[(70, 61, 53), (192, 167, 121), (159, 131, 91), (171, 164, 132), (168, 156, 148)]",69.0,60.0,52.0,"(0.0784313725490196, 60.5, -0.14285714285714285)",0.0784313725490196,60.5,-0.14285714285714285
Otterlo,52.1015221,5.7720779,Van Gogh -Der alte Friedhofsturm in Nuenen mit plügenden Bauern.jpeg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Van_Gogh_-Der_alte_Friedhofsturm_in_Nuenen_mit_pl%C3%BCgenden_Bauern.jpeg/150px-Van_Gogh_-Der_alte_Friedhofsturm_in_Nuenen_mit_pl%C3%BCgenden_Bauern.jpeg,"(152, 173, 161)","[(152, 173, 161), (33, 42, 38), (64, 83, 56), (84, 99, 55), (90, 98, 88)]",152.0,173.0,161.0,"(0.4047619047619048, 162.5, -0.06501547987616099)",0.4047619047619048,162.5,-0.06501547987616099
Boston,42.3602534,-71.0582912,Vincent van Gogh - Weaver - Google Art Project.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Vincent_van_Gogh_-_Weaver_-_Google_Art_Project.jpg/150px-Vincent_van_Gogh_-_Weaver_-_Google_Art_Project.jpg,"(61, 59, 31)","[(63, 61, 32), (202, 199, 155), (143, 144, 94), (169, 176, 124), (166, 164, 134)]",61.0,59.0,31.0,"(0.15555555555555556, 46.0, -0.3333333333333333)",0.15555555555555556,46.0,-0.3333333333333333
,,,Van Gogh - Landschaft mit Weiden.jpeg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Van_Gogh_-_Landschaft_mit_Weiden.jpeg/150px-Van_Gogh_-_Landschaft_mit_Weiden.jpeg,"(193, 167, 166)","[(193, 167, 166), (50, 18, 15), (88, 46, 35), (119, 85, 65), (119, 94, 90)]",193.0,167.0,166.0,"(0.006172839506172849, 179.5, -0.07563025210084033)",0.006172839506172849,179.5,-0.07563025210084033
Otterlo,52.1015221,5.7720779,"Van Gogh - Weber, am Webstuhl stehend.jpeg",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Van_Gogh_-_Weber%2C_am_Webstuhl_stehend.jpeg/150px-Van_Gogh_-_Weber%2C_am_Webstuhl_stehend.jpeg,"(53, 53, 51)","[(53, 54, 52), (172, 169, 122), (110, 110, 90), (126, 126, 124), (139, 141, 127)]",53.0,53.0,51.0,"(0.16666666666666666, 52.0, -0.0196078431372549)",0.16666666666666666,52.0,-0.0196078431372549
,,,Van Gogh - Der alte Friedhofsturm in Nuenen mit drei Figuren.jpeg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Van_Gogh_-_Der_alte_Friedhofsturm_in_Nuenen_mit_drei_Figuren.jpeg/150px-Van_Gogh_-_Der_alte_Friedhofsturm_in_Nuenen_mit_drei_Figuren.jpeg,"(202, 199, 206)","[(200, 198, 204), (56, 51, 58), (95, 89, 97), (127, 120, 129), (108, 100, 108)]",202.0,199.0,206.0,"(0.7380952380952381, 202.5, -0.017369727047146403)",0.7380952380952381,202.5,-0.017369727047146403
Otterlo,52.1015221,5.7720779,Van Gogh - Weber am Webstuhl (von vorn).jpeg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Van_Gogh_-_Weber_am_Webstuhl_%28von_vorn%29.jpeg/150px-Van_Gogh_-_Weber_am_Webstuhl_%28von_vorn%29.jpeg,"(176, 154, 125)","[(59, 56, 51), (176, 154, 125), (124, 105, 85), (145, 135, 120), (118, 121, 118)]",176.0,154.0,125.0,"(0.09477124183006536, 150.5, -0.1705685618729097)",0.09477124183006536,150.5,-0.1705685618729097
,,,"Van Gogh - Weber am Webstuhl, das Gewebe prüfend2.jpeg",https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Van_Gogh_-_Weber_am_Webstuhl%2C_das_Gewebe_pr%C3%BCfend2.jpeg/150px-Van_Gogh_-_Weber_am_Webstuhl%2C_das_Gewebe_pr%C3%BCfend2.jpeg,"(58, 56, 52)","[(59, 57, 52), (171, 173, 169), (176, 154, 103), (121, 117, 105), (148, 140, 112)]",58.0,56.0,52.0,"(0.11111111111111112, 55.0, -0.05555555555555555)",0.11111111111111112,55.0,-0.05555555555555555
March,48.0578573,7.7790038,Van Gogh - The Parsonage Garden at Nuenen.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Van_Gogh_-_The_Parsonage_Garden_at_Nuenen.jpg/150px-Van_Gogh_-_The_Parsonage_Garden_at_Nuenen.jpg,"(58, 54, 36)","[(58, 53, 36), (164, 168, 131), (111, 110, 80), (129, 141, 106), (130, 132, 110)]",58.0,54.0,36.0,"(0.13636363636363635, 47.0, -0.2391304347826087)",0.13636363636363635,47.0,-0.2391304347826087
,,,Vincent van Gogh - Water mill at Kollen (1884).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Vincent_van_Gogh_-_Water_mill_at_Kollen_%281884%29.jpg/150px-Vincent_van_Gogh_-_Water_mill_at_Kollen_%281884%29.jpg,"(54, 48, 37)","[(54, 48, 38), (105, 99, 84), (204, 188, 172), (132, 124, 100), (124, 116, 100)]",54.0,48.0,37.0,"(0.10784313725490195, 45.5, -0.19101123595505617)",0.10784313725490195,45.5,-0.19101123595505617
,,,Van gogh weaver standing in front of a loomf33.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Van_gogh_weaver_standing_in_front_of_a_loomf33.jpg/150px-Van_gogh_weaver_standing_in_front_of_a_loomf33.jpg,"(55, 61, 54)","[(56, 61, 54), (192, 188, 165), (130, 124, 106), (148, 164, 144), (156, 156, 164)]",55.0,61.0,54.0,"(0.30952380952380953, 57.5, -0.061946902654867256)",0.30952380952380953,57.5,-0.061946902654867256
,,,Van Gogh - Der alte Friedhofsturm in Nuenen.jpeg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Van_Gogh_-_Der_alte_Friedhofsturm_in_Nuenen.jpeg/150px-Van_Gogh_-_Der_alte_Friedhofsturm_in_Nuenen.jpeg,"(203, 181, 157)","[(202, 180, 157), (103, 75, 51), (106, 86, 79), (131, 96, 77), (243, 232, 231)]",203.0,181.0,157.0,"(0.08695652173913043, 180.0, -0.12849162011173185)",0.08695652173913043,180.0,-0.12849162011173185
Munich,48.1371079,11.5753822,Van Gogh - Weber vor offenem Fenster mit Blick auf den Turm von Nuenen.jpeg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Van_Gogh_-_Weber_vor_offenem_Fenster_mit_Blick_auf_den_Turm_von_Nuenen.jpeg/150px-Van_Gogh_-_Weber_vor_offenem_Fenster_mit_Blick_auf_den_Turm_von_Nuenen.jpeg,"(84, 76, 65)","[(84, 76, 65), (216, 204, 192), (188, 173, 150), (178, 157, 137), (151, 131, 112)]",84.0,76.0,65.0,"(0.09649122807017545, 74.5, -0.1292517006802721)",0.09649122807017545,74.5,-0.1292517006802721
Otterlo,52.1015221,5.7720779,Van Gogh - Weber in einem Raum mit drei schmalen Fenstern.jpeg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Van_Gogh_-_Weber_in_einem_Raum_mit_drei_schmalen_Fenstern.jpeg/150px-Van_Gogh_-_Weber_in_einem_Raum_mit_drei_schmalen_Fenstern.jpeg,"(85, 79, 66)","[(85, 79, 66), (188, 154, 92), (225, 220, 224), (135, 125, 122), (160, 148, 92)]",85.0,79.0,66.0,"(0.11403508771929825, 75.5, -0.12751677852348994)",0.11403508771929825,75.5,-0.12751677852348994
Rotterdam,51.9244424,4.47775,"Weaver, Seen from the Front - My Dream.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Weaver%2C_Seen_from_the_Front_-_My_Dream.jpg/150px-Weaver%2C_Seen_from_the_Front_-_My_Dream.jpg,"(69, 55, 50)","[(68, 55, 51), (214, 188, 163), (146, 121, 108), (148, 174, 166), (164, 156, 172)]",69.0,55.0,50.0,"(0.04385964912280702, 59.5, -0.1623931623931624)",0.04385964912280702,59.5,-0.1623931623931624
Otterlo,52.1015221,5.7720779,Oxcart - My Dream.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Oxcart_-_My_Dream.jpg/150px-Oxcart_-_My_Dream.jpg,"(71, 57, 46)","[(74, 59, 47), (225, 178, 134), (147, 110, 86), (164, 156, 140), (156, 148, 148)]",71.0,57.0,46.0,"(0.07333333333333332, 58.5, -0.21739130434782608)",0.07333333333333332,58.5,-0.21739130434782608
Portland,45.5202471,-122.6741949,Vincent van Gogh - Charrette de boeuf.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Vincent_van_Gogh_-_Charrette_de_boeuf.jpg/150px-Vincent_van_Gogh_-_Charrette_de_boeuf.jpg,"(206, 206, 211)","[(206, 207, 212), (35, 27, 29), (109, 100, 103), (146, 141, 144), (140, 132, 140)]",206.0,206.0,211.0,"(0.6666666666666666, 208.5, -0.012048192771084338)",0.6666666666666666,208.5,-0.012048192771084338
,,,Vincent van Gogh - The Old Tower at Dusk - F40 JH507.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Vincent_van_Gogh_-_The_Old_Tower_at_Dusk_-_F40_JH507.jpg/150px-Vincent_van_Gogh_-_The_Old_Tower_at_Dusk_-_F40_JH507.jpg,"(86, 85, 65)","[(87, 86, 65), (123, 124, 77), (49, 51, 45), (146, 140, 102), (104, 112, 92)]",86.0,85.0,65.0,"(0.15873015873015872, 75.5, -0.14093959731543623)",0.15873015873015872,75.5,-0.14093959731543623
